FILE,CLASS,BMT,REPLICATE,DATA SET,CLASS2,C LEVEL,M LEVEL,VERTICES,CONNECTED EDGES,WEDGE COUNT,CLAW COUNT,MAX DEGREE
ACB1,AC,B1,1,Training,B,90,70,5035,17666,5,2575,5
ACB2,AC,B2,2,Training,B,90,70,3132,10988,2,1600,5
ACB3,AC,B3,3,Training,B,90,70,3402,11912,3,1784,5
ACB4,AC,B4,4,Training,B,90,70,4391,15423,3,2253,5
ACB5,AC,B5,5,Training,B,90,70,4924,17292,4,2515,5
ACB6,AC,B6,6,Training,B,90,70,3773,13244,3,1962,5
ACB7,AC,B7,7,Validation,B,90,70,4539,15893,1,2364,5
ACB8,AC,B8,8,Validation,B,90,70,4370,15308,3,2270,5
ACB9,AC,B9,9,Validation,B,90,70,3744,13106,4,1978,5
ACB10,AC,B10,10,Cross-validation,B,90,70,3164,12705,2,1850,5
ACB1,AC,B1,1,Training,B,90,100,5013,17590,5,2563,5
ACB2,AC,B2,2,Training,B,90,100,3125,10976,2,1586,5
ACB3,AC,B3,3,Training,B,90,100,3384,11828,2,1789,5
ACB4,AC,B4,4,Training,B,90,100,4330,15214,3,2218,5
ACB5,AC,B5,5,Training,B,90,100,4915,17269,4,2504,5
ACB6,AC,B6,6,Training,B,90,100,3772,13238,3,1963,5
ACB7,AC,B7,7,Validation,B,90,100,4689,16366,6,2483,5
ACB8,AC,B8,8,Validation,B,90,100,4342,15211,2,2252,5
ACB9,AC,B9,9,Validation,B,90,100,3647,12779,3,1917,5
ACB10,AC,B10,10,Cross-validation,B,90,100,3589,12617,1,1840,5
ACB1,AC,B1,1,Training,B,90,125,4993,17519,6,2550,5
ACB2,AC,B2,2,Training,B,90,125,3089,10841,2,1574,5
ACB3,AC,B3,3,Training,B,90,125,3330,11632,2,1769,5
ACB4,AC,B4,4,Training,B,90,125,4188,14640,6,2205,5
ACB5,AC,B5,5,Training,B,90,125,4858,17055,4,2488,5
ACB6,AC,B6,6,Training,B,90,125,3743,13147,3,1937,5
ACB7,AC,B7,7,Validation,B,90,125,4532,15865,2,2361,5
ACB8,AC,B8,8,Validation,B,90,125,4322,15148,2,2236,5
ACB9,AC,B9,9,Validation,B,90,125,3624,12696,3,1905,5
ACB10,AC,B10,10,Cross-validation,B,90,125,3554,12502,1,1813,5
ACB1,AC,B1,1,Training,B,125,70,5057,17638,8,2676,5
ACB2,AC,B2,2,Training,B,125,70,3101,10883,2,1585,5
ACB3,AC,B3,3,Training,B,125,70,3409,11907,3,1800,5
ACB4,AC,B4,4,Training,B,125,70,4338,15203,5,2251,5
ACB5,AC,B5,5,Training,B,125,70,4880,17132,5,2499,5
ACB6,AC,B6,6,Training,B,125,70,3791,13258,4,2001,5
ACB7,AC,B7,7,Validation,B,125,70,4510,15784,2,2350,5
ACB8,AC,B8,8,Validation,B,125,70,4272,14960,1,2223,5
ACB9,AC,B9,9,Validation,B,125,70,3628,12749,5,1855,5
ACB10,AC,B10,10,Cross-validation,B,125,70,3527,12388,2,1812,5
ACB1,AC,B1,1,Training,B,125,100,4890,17096,7,2544,5
ACB2,AC,B2,2,Training,B,125,100,3093,10862,2,1574,5
ACB3,AC,B3,3,Training,B,125,100,3398,11866,3,1796,5
ACB4,AC,B4,4,Training,B,125,100,4279,15003,5,2217,5
ACB5,AC,B5,5,Training,B,125,100,4876,17131,5,2488,5
ACB6,AC,B6,6,Training,B,125,100,3790,13252,4,2002,5
ACB7,AC,B7,7,Validation,B,125,100,4509,15780,3,2348,5
ACB8,AC,B8,8,Validation,B,125,100,4266,14943,1,2217,5
ACB9,AC,B9,9,Validation,B,125,100,3600,12638,4,1855,5
ACB10,AC,B10,10,Cross-validation,B,125,100,3522,12381,2,1801,5
ACB1,AC,B1,1,Training,B,125,125,5022,17522,8,2651,5
ACB2,AC,B2,2,Training,B,125,125,3057,10727,2,1561,5
ACB3,AC,B3,3,Training,B,125,125,3342,11658,3,1779,5
ACB4,AC,B4,4,Training,B,125,125,4090,14308,4,2145,5
ACB5,AC,B5,5,Training,B,125,125,4800,16854,5,2456,5
ACB6,AC,B6,6,Training,B,125,125,3764,13172,4,1977,5
ACB7,AC,B7,7,Validation,B,125,125,4503,15761,3,2344,5
ACB8,AC,B8,8,Validation,B,125,125,4285,15000,6,2230,5
ACB9,AC,B9,9,Validation,B,125,125,3576,12557,4,1838,5
ACB10,AC,B10,10,Cross-validation,B,125,125,3560,12488,1,1845,5
ACB1,AC,B1,1,Training,B,175,70,4535,15764,11,2428,5
ACB2,AC,B2,2,Training,B,175,70,2997,10447,1,1594,5
ACB3,AC,B3,3,Training,B,175,70,3466,12154,3,1782,5
ACB4,AC,B4,4,Training,B,175,70,4126,14429,6,2153,5
ACB5,AC,B5,5,Training,B,175,70,4793,16723,5,2528,5
ACB6,AC,B6,6,Training,B,175,70,3643,12743,7,1905,5
ACB7,AC,B7,7,Validation,B,175,70,4244,14785,3,2262,5
ACB8,AC,B8,8,Validation,B,175,70,4155,14513,4,2189,5
ACB9,AC,B9,9,Validation,B,175,70,3321,11611,6,1736,5
ACB10,AC,B10,10,Cross-validation,B,175,70,3413,11981,4,1741,5
ACB1,AC,B1,1,Training,B,175,100,4515,15702,8,2416,5
ACB2,AC,B2,2,Training,B,175,100,2981,10395,1,1581,5
ACB3,AC,B3,3,Training,B,175,100,3361,11802,2,1713,5
ACB4,AC,B4,4,Training,B,175,100,4046,14160,6,2106,5
ACB5,AC,B5,5,Training,B,175,100,4752,16598,5,2488,5
ACB6,AC,B6,6,Training,B,175,100,3688,12885,5,1948,5
ACB7,AC,B7,7,Validation,B,175,100,4243,14780,4,2261,5
ACB8,AC,B8,8,Validation,B,175,100,4151,14502,4,2184,5
ACB9,AC,B9,9,Validation,B,175,100,3299,11526,6,1731,5
ACB10,AC,B10,10,Cross-validation,B,175,100,3390,11894,4,1737,5
ACB1,AC,B1,1,Training,B,175,125,4496,15635,8,2405,5
ACB2,AC,B2,2,Training,B,175,125,2947,10268,1,1571,5
ACB3,AC,B3,3,Training,B,175,125,3320,11641,2,1707,5
ACB4,AC,B4,4,Training,B,175,125,3889,13571,5,2058,5
ACB5,AC,B5,5,Training,B,175,125,4711,16457,5,2467,5
ACB6,AC,B6,6,Training,B,175,125,3610,12632,6,1886,5
ACB7,AC,B7,7,Validation,B,175,125,4239,14768,4,2258,5
ACB8,AC,B8,8,Validation,B,175,125,4139,14460,4,2178,5
ACB9,AC,B9,9,Validation,B,175,125,3329,11619,6,1758,5
ACB10,AC,B10,10,Cross-validation,B,175,125,3362,11798,3,1722,5
ACM1,AC,M1,1,Training,M,90,70,4816,16905,3,2483,5
ACM2,AC,M2,2,Training,M,90,70,5108,17910,8,2625,5
ACM3,AC,M3,3,Training,M,90,70,5721,19993,9,2981,5
ACM4,AC,M4,4,Training,M,90,70,3242,11335,10,1690,5
ACM5,AC,M5,5,Training,M,90,70,2976,10356,2,1612,5
ACM6,AC,M6,6,Training,M,90,70,3442,12068,0,1791,5
ACM7,AC,M7,7,Validation,M,90,70,4231,14825,4,2202,5
ACM8,AC,M8,8,Validation,M,90,70,3714,13008,2,1935,5
ACM9,AC,M9,9,Validation,M,90,70,4561,16030,2,2334,5
ACM10,AC,M10,10,Cross-validation,M,90,70,6029,21094,1,3154,5
ACM1,AC,M1,1,Training,M,90,100,4814,16898,3,2482,5
ACM2,AC,M2,2,Training,M,90,100,5052,17721,4,2600,5
ACM3,AC,M3,3,Training,M,90,100,5729,20016,9,2989,5
ACM4,AC,M4,4,Training,M,90,100,3236,11311,11,1688,5
ACM5,AC,M5,5,Training,M,90,100,2967,10321,2,1610,5
ACM6,AC,M6,6,Training,M,90,100,3433,12038,0,1786,5
ACM7,AC,M7,7,Validation,M,90,100,4223,14797,4,2197,5
ACM8,AC,M8,8,Validation,M,90,100,3712,13001,2,1934,5
ACM9,AC,M9,9,Validation,M,90,100,4561,16030,2,2334,5
